transaction_id,date,vendor_name,amount,reference,type
TXN-1030,Aug 20 2026,ABC Technologies Pvt. Ltd.,19277,REF-001,payment
TXN-1031,Aug 21 2026,TechSource Pvt Ltd,12216,REF-002,payment
TXN-1032,Aug 22 2026,Nimbus Logistics,25820,REF-003,payment
TXN-1033,Aug 23 2026,Orion Traders,20956,REF-004,payment
TXN-1034,Aug 24 2026,Vertex Supplies,14576,REF-005,payment
TXN-1035,Aug 25 2026,Kalyan Textiles,27927,REF-006,payment
TXN-1036,Aug 26 2026,BrightPath Consulting,8400,REF-007,payment
TXN-1037,Aug 20 2026,Prime Components,31200,REF-008,payment
TXN-1038,Aug 21 2026,ABC Technologies,10000,REF-009,payment
TXN-1039,Aug 22 2026,TechSource Pvt Ltd,48000,REF-010,payment
TXN-1040,Aug 22 2026,TechSource Pvt Ltd,48000,REF-010,payment
TXN-1041,Aug 23 2026,Nimbus Logistics,22400,REF-011,payment
TXN-1042,Aug 24 2026,Vertex Supplies,6200,REF-012,payment
TXN-1043,Aug 25 2026,Unknown Vendor XYZ,135000,REF-013,payment
